Date,Close/Last,Volume,Open,High,Low
12/30/2021,$168.6445,37583100,$169.7,$170.888,$168.524
12/29/2021,$169.201,35754040,$170.84,$171.212,$168.6005
12/28/2021,$170.661,54711860,$170.1825,$172.1759,$169.1355
12/27/2021,$169.6695,58846820,$171.037,$172.943,$169.2155
12/23/2021,$171.0685,36788240,$170.428,$171.975,$170.15
12/22/2021,$171.037,55035460,$169.2698,$172.05,$168.5005
12/21/2021,$170.417,55955820,$167.8505,$170.7165,$165.6475
12/20/2021,$167.079,57372660,$166.85,$167.8743,$165.6
12/17/2021,$170.0175,85755160,$167.7105,$170.8985,$165.6136
12/16/2021,$168.871,60876840,$173.3686,$174.166,$168.1603
12/15/2021,$173.315,75794260,$168.598,$173.6,$165.195
12/14/2021,$169.0915,55975280,$167.55,$169.499,$166.44
12/13/2021,$169.5675,62169000,$172,$172.1,$169.13
12/10/2021,$172.212,60689760,$175.417,$175.927,$170.5
12/09/2021,$174.171,46061820,$175.75,$176.9695,$174.1395
12/08/2021,$176.158,45253660,$176.1505,$177.18,$174.7505
12/07/2021,$176.1645,66410720,$174.6,$177.4995,$173.3345
12/06/2021,$171.3685,68860000,$169.65,$173.6955,$166.9345
12/03/2021,$169.4895,80711000,$172.75,$173.4932,$166.93
12/02/2021,$171.868,64725760,$173,$174.635,$171.1875
12/01/2021,$172.186,75139900,$177.25,$177.994,$172.08
11/30/2021,$175.3535,80022140,$178.175,$179.2885,$174.6005
11/29/2021,$178.0785,65311140,$177.3822,$179.8,$176.575
11/26/2021,$175.228,59825940,$180.1048,$181.675,$175.2075
11/24/2021,$179.0205,46560360,$178.1335,$180.682,$176.8425
11/23/2021,$179.002,73844920,$179.252,$181.0525,$176.3855
11/22/2021,$178.6285,96957000,$183.8189,$185.6728,$178.375
11/19/2021,$183.8285,98924060,$185.6345,$188.1073,$183.786
11/18/2021,$184.803,114070760,$178.3175,$185.21,$178.05
11/17/2021,$177.45,51205400,$178.236,$179.3623,$177.2675
11/16/2021,$177.035,44341420,$176.95,$178.825,$176.2573
11/15/2021,$177.284,58594380,$176.85,$179.694,$176.2905
11/12/2021,$176.2575,53788680,$174.25,$177.0363,$172.3525
11/11/2021,$173.625,45288120,$175.65,$177.162,$173.3735
11/10/2021,$174.1025,80548440,$178.1935,$180.2725,$173.1545
11/09/2021,$178.8115,85898440,$175.7625,$179.6885,$175.0713
11/08/2021,$174.449,61479840,$176.162,$178.95,$174.393
11/05/2021,$175.9495,99939020,$173.85,$178.3125,$173.849
11/04/2021,$173.85,107060400,$168.5,$174.9313,$168.25
